,Source Account,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,BBCWorld,Kate Spade death: Mental illness 'doesn't discriminate' https://t.co/c6543I9kot,Thu Jun 07 15:32:15 +0000 2018,-0.765,0.0,0.476,0.524,1
1,BBCWorld,Silent alert system for women who are being attacked in the street wins $1m XPrize #BBCWorldHacks https://t.co/ehis3Uqfi8,Thu Jun 07 15:17:30 +0000 2018,0.4404,0.258,0.611,0.131,2
2,BBCWorld,Korean woman survives six days in Australian wilderness https://t.co/UpXmoQRUWS,Thu Jun 07 15:11:02 +0000 2018,0.0,0.0,1.0,0.0,3
3,BBCWorld,Israel blames Iran for Gaza border violence https://t.co/RGFIss4CCu,Thu Jun 07 15:11:00 +0000 2018,-0.7783,0.0,0.469,0.531,4
4,BBCWorld,Ship hack 'risks chaos in English Channel' https://t.co/jHTA8WDpQl,Thu Jun 07 14:45:00 +0000 2018,-0.7003,0.0,0.508,0.492,5
5,BBCWorld,"The moment Arizona police officers brutally beat up an unarmed man

https://t.co/dH23CYgyrI https://t.co/lA2QyRIWWM",Thu Jun 07 14:42:29 +0000 2018,-0.6124,0.0,0.75,0.25,6
6,BBCWorld,Israeli PM Netanyahu: Iran nuclear deal is dead https://t.co/sv8hyYJkQa,Thu Jun 07 14:18:02 +0000 2018,-0.6486,0.0,0.65,0.35,7
7,BBCWorld,"This elderly man was struggling slowly across a busy road - but help was at hand!

https://t.co/wqgxKtyMMq https://t.co/o9jnoATohw",Thu Jun 07 14:08:59 +0000 2018,0.8043,0.353,0.564,0.082,8
8,BBCWorld,RT @BBCkatyaadler: The EU doesn‘t like the reference to a time-limit; it won’t cut the mustard for them as an Irish border backstop. While…,Thu Jun 07 14:06:05 +0000 2018,0.6705,0.208,0.792,0.0,9
9,BBCWorld,RT @BBCkatyaadler: The U.K. proposal for an if-all-else-fails backstop on customs relations with the EU -aimed at not alienating anyone - i…,Thu Jun 07 13:59:30 +0000 2018,0.0,0.0,1.0,0.0,10
10,BBCWorld,Why have boots started to appear outside the Georgian PM's office? https://t.co/yfM9cJFjBQ,Thu Jun 07 13:47:43 +0000 2018,0.0,0.0,1.0,0.0,11
11,BBCWorld,Dutch queen's sister found dead at Buenos Aires home https://t.co/4uUtFUxRda,Thu Jun 07 13:12:24 +0000 2018,-0.6486,0.0,0.677,0.323,12
12,BBCWorld,A BBC crew filming in Russia ahead of the @FIFAWorldCup found itself under constant surveillance… https://t.co/3tk34ZIVJ5,Thu Jun 07 12:58:23 +0000 2018,0.0,0.0,1.0,0.0,13
13,BBCWorld,Alice Johnson thanks Trump for Kardashian-backed release https://t.co/EEnP1jn3jx,Thu Jun 07 12:43:57 +0000 2018,0.4404,0.293,0.707,0.0,14
14,BBCWorld,In pictures: Chile students protest against harassment https://t.co/QsSOgFHBkr,Thu Jun 07 11:13:13 +0000 2018,-0.6705,0.0,0.522,0.478,15
15,BBCWorld,Stockholm lorry attacker jailed for life https://t.co/6UC2xOmq8U,Thu Jun 07 11:08:27 +0000 2018,-0.7845,0.0,0.42,0.58,16
16,BBCWorld,RT @BBCSteveR: Putin’s not shedding tears in public for Russian businessmen who may be having problems with the UK authorities: “I warned o…,Thu Jun 07 10:33:57 +0000 2018,-0.4826,0.063,0.756,0.181,17
17,BBCWorld,This is a lengthy reverse manoeuvre 🚗 https://t.co/bCL9E6Y22h,Thu Jun 07 10:32:40 +0000 2018,0.0,0.0,1.0,0.0,18
18,BBCWorld,"RT @BBCSteveR: Putin asked: “Will there be a Third World War?”
He replies: “Fear of mutual annihilation always restrained the top military…",Thu Jun 07 10:15:39 +0000 2018,0.2023,0.083,0.917,0.0,19
19,BBCWorld,Iraq arms cache explosions destroy Baghdad mosque https://t.co/XjxIeHnckl,Thu Jun 07 10:06:08 +0000 2018,-0.5423,0.0,0.667,0.333,20
20,BBCWorld,RT @BBCSteveR: Call the Kremlin: Alexei from St Petersburg complains to Putin about rising fuel prices. So Putin goes live to the Energy Mi…,Thu Jun 07 09:49:35 +0000 2018,-0.128,0.079,0.824,0.097,21
21,BBCWorld,S Africa axe murderer gets life sentence https://t.co/YNM3N2GHmS,Thu Jun 07 09:23:26 +0000 2018,-0.6908,0.115,0.354,0.531,22
